Date : 2024-06-24 11:37:33
Directory : c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src
Total : 334 files,  243724 codes, 545 comments, 9923 blanks, all 254192 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| app\demo\components\auth\login                                                                                                                                                                |          4 |         79 |          0 |         13 |         92 |
| app\demo\components\dashboard                                                                                                                                                                 |          4 |        358 |          0 |         26 |        384 |
| app\demo\components\documentation                                                                                                                                                             |          5 |        133 |          0 |         35 |        168 |
| app\demo\components\landing                                                                                                                                                                   |          4 |        377 |          0 |         35 |        412 |
| app\demo\components\notfound                                                                                                                                                                  |          2 |         45 |          0 |          1 |         46 |
| app\demo\components\pages                                                                                                                                                                     |         15 |        742 |         38 |        190 |        970 |
| app\demo\components\pages (Files)                                                                                                                                                             |          2 |         23 |          0 |          4 |         27 |
| app\demo\components\pages\crud                                                                                                                                                                |          4 |        263 |          2 |         44 |        309 |
| app\demo\components\pages\empty                                                                                                                                                               |          4 |        302 |         36 |        124 |        462 |
| app\demo\components\pages\timeline                                                                                                                                                            |          5 |        154 |          0 |         18 |        172 |
| app\demo\components\primeblocks                                                                                                                                                               |          6 |        961 |          1 |         75 |      1,037 |
| app\demo\components\primeblocks (Files)                                                                                                                                                       |          2 |         39 |          0 |          4 |         43 |
| app\demo\components\primeblocks\blocks                                                                                                                                                        |          2 |        778 |          0 |         39 |        817 |
| app\demo\components\primeblocks\blockviewer                                                                                                                                                   |          2 |        144 |          1 |         32 |        177 |
| app\demo\components\uikit                                                                                                                                                                     |         69 |      3,709 |          6 |        480 |      4,195 |
| app\demo\components\uikit (Files)                                                                                                                                                             |          2 |         35 |          0 |          4 |         39 |
| app\demo\components\uikit\button                                                                                                                                                              |          4 |        210 |          0 |         23 |        233 |
| app\demo\components\uikit\charts                                                                                                                                                              |          4 |        296 |          0 |         37 |        333 |
| app\demo\components\uikit\file                                                                                                                                                                |          4 |         62 |          0 |         15 |         77 |
| app\demo\components\uikit\floatlabel                                                                                                                                                          |          4 |        177 |          3 |         26 |        206 |
| app\demo\components\uikit\formlayout                                                                                                                                                          |          4 |        169 |          0 |         20 |        189 |
| app\demo\components\uikit\input                                                                                                                                                               |          4 |        307 |          0 |         49 |        356 |
| app\demo\components\uikit\invalid                                                                                                                                                             |          4 |        141 |          2 |         28 |        171 |
| app\demo\components\uikit\list                                                                                                                                                                |          4 |        177 |          0 |         28 |        205 |
| app\demo\components\uikit\media                                                                                                                                                               |          4 |        135 |          0 |         17 |        152 |
| app\demo\components\uikit\menus                                                                                                                                                               |          7 |        608 |          0 |         64 |        672 |
| app\demo\components\uikit\messages                                                                                                                                                            |          4 |        121 |          0 |         23 |        144 |
| app\demo\components\uikit\misc                                                                                                                                                                |          4 |        224 |          0 |         28 |        252 |
| app\demo\components\uikit\overlays                                                                                                                                                            |          4 |        224 |          0 |         33 |        257 |
| app\demo\components\uikit\panels                                                                                                                                                              |          4 |        278 |          0 |         26 |        304 |
| app\demo\components\uikit\table                                                                                                                                                               |          4 |        449 |          1 |         42 |        492 |
| app\demo\components\uikit\tree                                                                                                                                                                |          4 |         96 |          0 |         17 |        113 |
| app\demo\components\utilities                                                                                                                                                                 |          4 |         98 |          0 |         28 |        126 |
| app\demo\components\utilities (Files)                                                                                                                                                         |          2 |         25 |          0 |          4 |         29 |
| app\demo\components\utilities\icons                                                                                                                                                           |          2 |         73 |          0 |         24 |         97 |
| app\demo\interfaces                                                                                                                                                                           |          1 |          5 |          0 |          1 |          6 |
| app\demo\service                                                                                                                                                                              |          8 |        172 |          2 |         59 |        233 |
| app\duenia                                                                                                                                                                                    |         29 |      1,474 |         80 |        392 |      1,946 |
| app\duenia (Files)                                                                                                                                                                            |          2 |        123 |          0 |         14 |        137 |
| app\duenia\components                                                                                                                                                                         |          3 |         85 |          3 |         27 |        115 |
| app\duenia\components\side-bar                                                                                                                                                                |          3 |         85 |          3 |         27 |        115 |
| app\duenia\interfaces                                                                                                                                                                         |          4 |         53 |          2 |         32 |         87 |
| app\duenia\pages                                                                                                                                                                              |         19 |      1,083 |         68 |        279 |      1,430 |
| app\duenia\pages\main-menu                                                                                                                                                                    |          3 |         42 |          0 |         14 |         56 |
| app\duenia\pages\manage-category                                                                                                                                                              |          4 |        243 |         11 |         66 |        320 |
| app\duenia\pages\manage-dishes                                                                                                                                                                |          3 |        466 |         24 |        111 |        601 |
| app\duenia\pages\manage-menu                                                                                                                                                                  |          3 |        179 |         16 |         53 |        248 |
| app\duenia\pages\report                                                                                                                                                                       |          3 |         53 |          0 |         18 |         71 |
| app\duenia\pages\sales                                                                                                                                                                        |          3 |        100 |         17 |         17 |        134 |
| app\duenia\services                                                                                                                                                                           |          1 |        130 |          7 |         40 |        177 |
| app\interceptors                                                                                                                                                                              |          2 |         34 |          0 |         12 |         46 |
| app\layout                                                                                                                                                                                    |         18 |        953 |          4 |        144 |      1,101 |
| app\layout (Files)                                                                                                                                                                            |         13 |        534 |          4 |         84 |        622 |
| app\layout\api                                                                                                                                                                                |          1 |          4 |          0 |          0 |          4 |
| app\layout\config                                                                                                                                                                             |          3 |        334 |          0 |         39 |        373 |
| app\layout\service                                                                                                                                                                            |          1 |         81 |          0 |         21 |        102 |
| app\mesera                                                                                                                                                                                    |         25 |      2,561 |        194 |        606 |      3,361 |
| app\mesera (Files)                                                                                                                                                                            |          2 |         96 |          1 |         17 |        114 |
| app\mesera\components                                                                                                                                                                         |          4 |         64 |          0 |         17 |         81 |
| app\mesera\components\side-bar-mesera                                                                                                                                                         |          4 |         64 |          0 |         17 |         81 |
| app\mesera\interfaces                                                                                                                                                                         |          7 |        115 |          2 |         30 |        147 |
| app\mesera\pages                                                                                                                                                                              |         10 |      2,115 |        176 |        467 |      2,758 |
| app\mesera\pages\register-order                                                                                                                                                               |          7 |      1,786 |        130 |        372 |      2,288 |
| app\mesera\pages\register-order (Files)                                                                                                                                                       |          3 |        974 |        120 |        228 |      1,322 |
| app\mesera\pages\register-order\payment-component                                                                                                                                             |          1 |        230 |          4 |         39 |        273 |
| app\mesera\pages\register-order\platillos-component                                                                                                                                           |          3 |        582 |          6 |        105 |        693 |
| app\mesera\pages\select-tables                                                                                                                                                                |          3 |        329 |         46 |         95 |        470 |
| app\mesera\services                                                                                                                                                                           |          2 |        171 |         15 |         75 |        261 |
| assets                                                                                                                                                                                        |         92 |    230,926 |        168 |      7,566 |    238,660 |
| assets (Files)                                                                                                                                                                                |          1 |          3 |          0 |          1 |          4 |
| assets\demo                                                                                                                                                                                   |         34 |      7,913 |          0 |         36 |      7,949 |
| assets\demo\data                                                                                                                                                                              |         16 |      7,421 |          0 |          7 |      7,428 |
| assets\demo\images                                                                                                                                                                            |         14 |        395 |          0 |         12 |        407 |
| assets\demo\images\access                                                                                                                                                                     |          2 |         62 |          0 |          2 |         64 |
| assets\demo\images\blocks                                                                                                                                                                     |          1 |          3 |          0 |          0 |          3 |
| assets\demo\images\blocks\logos                                                                                                                                                               |          1 |          3 |          0 |          0 |          3 |
| assets\demo\images\error                                                                                                                                                                      |          2 |         90 |          0 |          2 |         92 |
| assets\demo\images\landing                                                                                                                                                                    |          7 |        221 |          0 |          7 |        228 |
| assets\demo\images\notfound                                                                                                                                                                   |          1 |          9 |          0 |          1 |         10 |
| assets\demo\images\product                                                                                                                                                                    |          1 |         10 |          0 |          0 |         10 |
| assets\demo\styles                                                                                                                                                                            |          4 |         97 |          0 |         17 |        114 |
| assets\demo\styles (Files)                                                                                                                                                                    |          3 |         96 |          0 |         16 |        112 |
| assets\demo\styles\flags                                                                                                                                                                      |          1 |          1 |          0 |          1 |          2 |
| assets\layout                                                                                                                                                                                 |         57 |    223,010 |        168 |      7,529 |    230,707 |
| assets\layout\images                                                                                                                                                                          |         10 |         66 |          0 |          6 |         72 |
| assets\layout\images (Files)                                                                                                                                                                  |          2 |         14 |          0 |          2 |         16 |
| assets\layout\images\themes                                                                                                                                                                   |          8 |         52 |          0 |          4 |         56 |
| assets\layout\styles                                                                                                                                                                          |         47 |    222,944 |        168 |      7,523 |    230,635 |
| assets\layout\styles\layout                                                                                                                                                                   |         13 |        550 |          1 |         91 |        642 |
| assets\layout\styles\theme                                                                                                                                                                    |         34 |    222,394 |        167 |      7,432 |    229,993 |
| assets\layout\styles\theme\arya-blue                                                                                                                                                          |          1 |      6,202 |          3 |        194 |      6,399 |
| assets\layout\styles\theme\arya-green                                                                                                                                                         |          1 |      6,202 |          3 |        194 |      6,399 |
| assets\layout\styles\theme\arya-orange                                                                                                                                                        |          1 |      6,202 |          3 |        194 |      6,399 |
| assets\layout\styles\theme\arya-purple                                                                                                                                                        |          1 |      6,202 |          3 |        194 |      6,399 |
| assets\layout\styles\theme\bootstrap4-dark-blue                                                                                                                                               |          1 |      6,205 |          4 |        197 |      6,406 |
| assets\layout\styles\theme\bootstrap4-dark-purple                                                                                                                                             |          1 |      6,205 |          4 |        197 |      6,406 |
| assets\layout\styles\theme\bootstrap4-light-blue                                                                                                                                              |          1 |      6,205 |          4 |        197 |      6,406 |
| assets\layout\styles\theme\bootstrap4-light-purple                                                                                                                                            |          1 |      6,205 |          4 |        197 |      6,406 |
| assets\layout\styles\theme\fluent-light                                                                                                                                                       |          1 |      6,321 |          3 |        210 |      6,534 |
| assets\layout\styles\theme\lara-dark-blue                                                                                                                                                     |          1 |      6,189 |          2 |        198 |      6,389 |
| assets\layout\styles\theme\lara-dark-indigo                                                                                                                                                   |          1 |      6,189 |          2 |        198 |      6,389 |
| assets\layout\styles\theme\lara-dark-purple                                                                                                                                                   |          1 |      6,189 |          2 |        198 |      6,389 |
| assets\layout\styles\theme\lara-dark-teal                                                                                                                                                     |          1 |      6,189 |          2 |        198 |      6,389 |
| assets\layout\styles\theme\lara-light-blue                                                                                                                                                    |          1 |      6,189 |          2 |        198 |      6,389 |
| assets\layout\styles\theme\lara-light-indigo                                                                                                                                                  |          1 |      6,189 |          2 |        198 |      6,389 |
| assets\layout\styles\theme\lara-light-purple                                                                                                                                                  |          1 |      6,189 |          2 |        198 |      6,389 |
| assets\layout\styles\theme\lara-light-teal                                                                                                                                                    |          1 |      6,189 |          2 |        198 |      6,389 |
| assets\layout\styles\theme\md-dark-deeppurple                                                                                                                                                 |          1 |      7,631 |         11 |        290 |      7,932 |
| assets\layout\styles\theme\md-dark-indigo                                                                                                                                                     |          1 |      7,631 |         11 |        290 |      7,932 |
| assets\layout\styles\theme\md-light-deeppurple                                                                                                                                                |          1 |      7,631 |         11 |        290 |      7,932 |
| assets\layout\styles\theme\md-light-indigo                                                                                                                                                    |          1 |      7,631 |         11 |        290 |      7,932 |
| assets\layout\styles\theme\mdc-dark-deeppurple                                                                                                                                                |          1 |      7,631 |         11 |        290 |      7,932 |
| assets\layout\styles\theme\mdc-dark-indigo                                                                                                                                                    |          1 |      7,631 |         11 |        290 |      7,932 |
| assets\layout\styles\theme\mdc-light-deeppurple                                                                                                                                               |          1 |      7,631 |         11 |        290 |      7,932 |
| assets\layout\styles\theme\mdc-light-indigo                                                                                                                                                   |          1 |      7,631 |         11 |        290 |      7,932 |
| assets\layout\styles\theme\saga-blue                                                                                                                                                          |          1 |      6,199 |          3 |        194 |      6,396 |
| assets\layout\styles\theme\saga-green                                                                                                                                                         |          1 |      6,199 |          3 |        194 |      6,396 |
| assets\layout\styles\theme\saga-orange                                                                                                                                                        |          1 |      6,199 |          3 |        194 |      6,396 |
| assets\layout\styles\theme\saga-purple                                                                                                                                                        |          1 |      6,199 |          3 |        194 |      6,396 |
| assets\layout\styles\theme\tailwind-light                                                                                                                                                     |          1 |      6,281 |          8 |        202 |      6,491 |
| assets\layout\styles\theme\vela-blue                                                                                                                                                          |          1 |      6,202 |          3 |        194 |      6,399 |
| assets\layout\styles\theme\vela-green                                                                                                                                                         |          1 |      6,202 |          3 |        194 |      6,399 |
| assets\layout\styles\theme\vela-orange                                                                                                                                                        |          1 |      6,202 |          3 |        194 |      6,399 |
| assets\layout\styles\theme\vela-purple                                                                                                                                                        |          1 |      6,202 |          3 |        194 |      6,399 |
| environments                                                                                                                                                                                  |          2 |          6 |         11 |          4 |         21 |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                                                                                      | language   | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\app-routing.module.ts                                                     | TypeScript |         29 |          0 |          4 |         33 |
| c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\app.component.html                                                        | HTML       |          1 |          0 |          1 |          2 |
| c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\app.component.ts                                                          | TypeScript |         12 |          0 |          4 |         16 |
| c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\app.module.ts                                                             | TypeScript |         34 |          0 |          2 |         36 |
| c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\auth\auth.module.ts                                                       | TypeScript |         29 |          0 |          5 |         34 |
| c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\auth\auth.routing.module.ts                                               | TypeScript |         18 |          0 |          4 |         22 |
| c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\auth\guards\auth.guard.ts                                                 | TypeScript |         23 |          0 |         10 |         33 |
| c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\auth\interfaces\jwt.interface.ts                                          | TypeScript |          4 |          0 |          2 |          6 |
| c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\auth\interfaces\user.interface.ts                                         | TypeScript |         14 |          0 |          2 |         16 |
| c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\auth\pages\login\login.component.html                                     | HTML       |         48 |          0 |         11 |         59 |
| c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\auth\pages\login\login.component.spec.ts                                  | TypeScript |         17 |          0 |          6 |         23 |
| c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\auth\pages\login\login.component.ts                                       | TypeScript |        110 |          3 |         19 |        132 |
| c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\auth\services\auth.service.spec.ts                                        | TypeScript |         41 |          6 |         17 |         64 |
| c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\auth\services\auth.service.ts                                             | TypeScript |         56 |          0 |          9 |         65 |
| c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\cocinero\cocinero-routing.module.ts                                       | TypeScript |         23 |          0 |          6 |         29 |
| c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\cocinero\cocinero.module.ts                                               | TypeScript |         44 |          0 |         15 |         59 |
| c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\cocinero\components\side-bar-cocinero\side-bar-cocinero.component.html    | HTML       |         17 |          0 |         10 |         27 |
| c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\cocinero\components\side-bar-cocinero\side-bar-cocinero.component.scss    | SCSS       |         12 |          0 |          1 |         13 |
| c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\cocinero\components\side-bar-cocinero\side-bar-cocinero.component.spec.ts | TypeScript |         17 |          0 |          5 |         22 |
| c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\cocinero\components\side-bar-cocinero\side-bar-cocinero.component.ts      | TypeScript |         12 |          0 |          3 |         15 |
| c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\cocinero\interfaces\order.interface.ts                                    | TypeScript |         23 |          0 |          6 |         29 |
| c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\cocinero\interfaces\orderHCocinero.interface.ts                           | TypeScript |         54 |          0 |         11 |         65 |
| c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\cocinero\pages\manage-order\manage-order.component.html                   | HTML       |         85 |          3 |         16 |        104 |
| c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\cocinero\pages\manage-order\manage-order.component.scss                   | SCSS       |         46 |          1 |          5 |         52 |
| c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\cocinero\pages\manage-order\manage-order.component.ts                     | TypeScript |         66 |          4 |         23 |         93 |
| c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\cocinero\services\cocinero.service.ts                                     | TypeScript |         31 |          0 |          8 |         39 |
| c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\api\customer.ts                                                      | TypeScript |         18 |          0 |          3 |         21 |
| c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\api\image.ts                                                         | TypeScript |          6 |          0 |          1 |          7 |
| c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\api\product.ts                                                       | TypeScript |         16 |          0 |          1 |         17 |
| c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\auth\access\access-routing.module.ts                      | TypeScript |         10 |          0 |          2 |         12 |
| c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\auth\access\access.component.html                         | HTML       |         18 |          0 |          0 |         18 |
| c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\auth\access\access.component.ts                           | TypeScript |          6 |          0 |          2 |          8 |
| c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\auth\access\access.module.ts                              | TypeScript |         14 |          0 |          3 |         17 |
| c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\auth\auth-routing.module.ts                               | TypeScript |         12 |          0 |          2 |         14 |
| c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\auth\auth.module.ts                                       | TypeScript |         10 |          0 |          2 |         12 |
| c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\auth\error\error-routing.module.ts                        | TypeScript |         10 |          0 |          2 |         12 |
| c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\auth\error\error.component.html                           | HTML       |         18 |          0 |          0 |         18 |
| c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\auth\error\error.component.ts                             | TypeScript |          6 |          0 |          1 |          7 |
| c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\auth\error\error.module.ts                                | TypeScript |         14 |          0 |          2 |         16 |
| c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\auth\login\login-routing.module.ts                        | TypeScript |         10 |          0 |          2 |         12 |
| c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\auth\login\login.component.html                           | HTML       |         28 |          0 |          4 |         32 |
| c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\auth\login\login.component.ts                             | TypeScript |         19 |          0 |          5 |         24 |
| c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\auth\login\login.module.ts                                | TypeScript |         22 |          0 |          2 |         24 |
| c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\dashboard\dashboard-routing.module.ts                     | TypeScript |         10 |          0 |          2 |         12 |
| c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\dashboard\dashboard.component.html                        | HTML       |        232 |          0 |          8 |        240 |
| c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\dashboard\dashboard.component.ts                          | TypeScript |         90 |          0 |         14 |        104 |
| c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\dashboard\dashboard.module.ts                             | TypeScript |         26 |          0 |          2 |         28 |
| c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\documentation\documentation-routing.module.ts             | TypeScript |         10 |          0 |          2 |         12 |
| c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\documentation\documentation.component.html                | HTML       |         90 |          0 |         29 |        119 |
| c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\documentation\documentation.component.scss                | SCSS       |         15 |          0 |          1 |         16 |
| c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\documentation\documentation.component.ts                  | TypeScript |          6 |          0 |          1 |          7 |
| c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\documentation\documentation.module.ts                     | TypeScript |         12 |          0 |          2 |         14 |
| c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\landing\landing-routing.module.ts                         | TypeScript |         10 |          0 |          2 |         12 |
| c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\landing\landing.component.html                            | HTML       |        335 |          0 |         27 |        362 |
| c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\landing\landing.component.ts                              | TypeScript |         10 |          0 |          4 |         14 |
| c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\landing\landing.module.ts                                 | TypeScript |         22 |          0 |          2 |         24 |
| c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\notfound\notfound.component.html                          | HTML       |         39 |          0 |          0 |         39 |
